,RequestedDateTime,Rig,Material,QtyRequested,ReceivedDateTime,QtyReceived,Vessel,OriginPort,id,Penalty
0,1/1/2021 8:00,AlphaRig,DeckCargo,5,1/6/2021 5:14,5,150A,RotterdamPort,7,0
1,1/1/2021 8:00,BetaRig,DeckCargo,7,1/4/2021 8:49,7,150B,RotterdamPort,8,0
2,1/1/2021 8:00,BetaRig,LiquidBulk,2000,1/4/2021 9:59,2000,150B,RotterdamPort,8,0
3,1/1/2021 8:00,BetaRig,Fuel,7700,1/4/2021 10:39,7700,150B,RotterdamPort,8,0
4,1/1/2021 8:00,BetaRig,DryBulk,2300,1/4/2021 14:30,2300,150B,RotterdamPort,8,0
5,1/1/2021 8:00,BetaRig,Pipe,5,1/4/2021 15:25,5,150B,RotterdamPort,8,0
6,1/1/2021 8:00,CharlieRig,LiquidBulk,2800,1/6/2021 10:46,2800,150E,HamburgPort,4,20000
7,1/1/2021 8:00,DeltaRig,DeckCargo,7,1/7/2021 1:02,7,150F,HamburgPort,5,170000
8,1/1/2021 8:00,DeltaRig,Fuel,1400,1/7/2021 2:12,1400,150F,HamburgPort,5,180000
9,1/1/2021 8:00,DeltaRig,DryBulk,2800,1/7/2021 2:54,2800,150F,HamburgPort,5,180000
10,1/1/2021 8:00,DeltaRig,Pipe,5,1/7/2021 4:01,5,150F,HamburgPort,5,200000
11,1/2/2021 8:00,AlphaRig,DeckCargo,7,1/6/2021 6:04,7,150A,RotterdamPort,7,0
12,1/2/2021 8:00,AlphaRig,DryBulk,1800,1/6/2021 7:14,1800,150A,RotterdamPort,7,0
13,1/2/2021 8:00,AlphaRig,Pipe,5,1/6/2021 7:58,5,150A,RotterdamPort,7,0
14,1/2/2021 8:00,BetaRig,LiquidBulk,4400,1/4/2021 16:40,4400,150B,RotterdamPort,8,0
15,1/2/2021 8:00,BetaRig,DryBulk,2700,1/4/2021 18:08,2700,150B,RotterdamPort,8,0
16,1/2/2021 8:00,BetaRig,Pipe,5,1/4/2021 19:13,5,150B,RotterdamPort,8,0
17,1/2/2021 8:00,CharlieRig,DeckCargo,5,1/6/2021 11:42,5,150E,HamburgPort,4,0
18,1/2/2021 8:00,CharlieRig,LiquidBulk,3100,1/6/2021 12:32,3100,150E,HamburgPort,4,0
19,1/2/2021 8:00,CharlieRig,Fuel,1900,1/6/2021 13:34,1900,150E,HamburgPort,4,0
20,1/2/2021 8:00,CharlieRig,Casing,9,1/6/2021 14:31,9,150E,HamburgPort,4,0
21,1/2/2021 8:00,CharlieRig,Pipe,5,1/6/2021 16:28,5,150E,HamburgPort,4,0
22,1/2/2021 8:00,DeltaRig,LiquidBulk,2400,1/7/2021 5:16,2400,150F,HamburgPort,5,0
23,1/2/2021 8:00,DeltaRig,Fuel,2100,1/7/2021 6:04,2100,150F,HamburgPort,5,0
24,1/2/2021 8:00,DeltaRig,Casing,9,1/7/2021 7:07,9,150F,HamburgPort,5,0
25,1/2/2021 8:00,DeltaRig,Pipe,18,1/7/2021 9:04,18,150F,HamburgPort,5,10000
26,1/3/2021 8:00,AlphaRig,LiquidBulk,3700,1/6/2021 9:13,3700,150A,RotterdamPort,7,0
27,1/3/2021 8:00,AlphaRig,Casing,20,1/6/2021 10:27,20,150A,RotterdamPort,7,0
28,1/3/2021 8:00,AlphaRig,DryBulk,2300,1/6/2021 14:47,2300,150A,RotterdamPort,7,0
29,1/3/2021 8:00,BetaRig,DeckCargo,5,1/6/2021 12:09,5,150C,RotterdamPort,8,0
30,1/3/2021 8:00,BetaRig,DryBulk,2200,1/6/2021 12:59,2200,150C,RotterdamPort,8,0
31,1/3/2021 8:00,BetaRig,Pipe,40,1/6/2021 13:52,40,150C,RotterdamPort,8,0
32,1/3/2021 8:00,CharlieRig,DeckCargo,7,1/6/2021 17:43,7,150E,HamburgPort,4,0
33,1/3/2021 8:00,CharlieRig,LiquidBulk,1500,1/6/2021 18:53,1500,150E,HamburgPort,4,0
34,1/3/2021 8:00,CharlieRig,Fuel,1700,1/6/2021 19:23,1700,150E,HamburgPort,4,0
35,1/3/2021 8:00,CharlieRig,Casing,9,1/6/2021 20:14,9,150E,HamburgPort,4,0
36,1/3/2021 8:00,CharlieRig,DryBulk,2700,1/6/2021 22:11,2700,150E,HamburgPort,4,0
37,1/3/2021 8:00,DeltaRig,LiquidBulk,2800,1/7/2021 13:34,2800,150F,HamburgPort,5,0
38,1/3/2021 8:00,DeltaRig,Casing,9,1/7/2021 14:30,9,150F,HamburgPort,5,0
39,1/3/2021 8:00,DeltaRig,DryBulk,2600,1/8/2021 23:58,2600,150G,HamburgPort,5,150000
40,1/4/2021 8:00,AlphaRig,DeckCargo,5,1/6/2021 15:42,5,150A,RotterdamPort,7,0
41,1/4/2021 8:00,AlphaRig,LiquidBulk,2400,1/6/2021 16:32,2400,150A,RotterdamPort,7,0
42,1/4/2021 8:00,AlphaRig,DryBulk,2400,1/6/2021 17:20,2400,150A,RotterdamPort,7,0
43,1/4/2021 8:00,BetaRig,DeckCargo,5,1/6/2021 23:52,5,150C,RotterdamPort,8,0
